,Incident Number,Incident Types,Reported Date,Province,Company,Substance,Volume Released (m3)
1364,INC2020-043,Release of Substance,04/26/2020,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,11457865.0
1365,INC2020-045,Release of Substance,04/30/2020,Saskatchewan,Enbridge Pipelines Inc.,Crude Oil - Sweet,50.0
1366,INC2020-046,Fire,05/01/2020,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1367,INC2020-047,Operation Beyond Design Limits,05/05/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1368,INC2020-048,Operation Beyond Design Limits,05/19/2020,Ontario,TransCanada PipeLines Limited,Not Applicable,
1369,INC2020-050,Release of Substance,05/24/2020,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,86.0
1370,INC2020-051,Fire,05/27/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1371,INC2020-052,Fire,05/29/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1372,INC2020-054,Operation Beyond Design Limits,06/05/2020,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1373,INC2020-055,Explosion,06/06/2020,Alberta,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1374,INC2020-056,Fire,06/06/2020,Saskatchewan,Kingston Midstream Limited,Not Applicable,
1375,INC2020-057,Release of Substance,06/13/2020,British Columbia,Trans Mountain Pipeline ULC,Crude Oil - Sweet,190.0
1376,INC2020-058,Operation Beyond Design Limits,06/14/2020,Alberta,Enbridge Pipelines Inc.,Not Applicable,
1377,INC2020-059,Fire,06/14/2020,Ontario,TransCanada PipeLines Limited,Not Applicable,
1378,INC2020-060,Operation Beyond Design Limits,06/14/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1379,INC2020-061,"Explosion, Fire",06/15/2020,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
1380,INC2020-063,Operation Beyond Design Limits,06/18/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1381,INC2020-065,Release of Substance,06/25/2020,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,4.05
1382,INC2020-066,Operation Beyond Design Limits,06/25/2020,Ontario,TransCanada PipeLines Limited,Not Applicable,
1383,INC2020-067,Operation Beyond Design Limits,06/26/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1384,INC2020-068,Serious Injury (CER or TSB),07/02/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1385,INC2020-070,Operation Beyond Design Limits,07/08/2020,Ontario,TransCanada PipeLines Limited,Not Applicable,
1386,INC2020-072,Fire,07/12/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1387,INC2020-073,Operation Beyond Design Limits,07/14/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1388,INC2020-077,Fire,07/28/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1389,INC2020-082,Operation Beyond Design Limits,08/08/2020,Ontario,TransCanada PipeLines Limited,Not Applicable,
1390,INC2020-083,Operation Beyond Design Limits,08/08/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1391,INC2020-084,Operation Beyond Design Limits,08/12/2020,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
1392,INC2020-085,Operation Beyond Design Limits,08/14/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1393,INC2020-086,Operation Beyond Design Limits,08/14/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1394,INC2020-087,Fire,08/17/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1395,INC2020-088,Fire,08/19/2020,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
1396,INC2020-089,Operation Beyond Design Limits,08/25/2020,Ontario,TransCanada PipeLines Limited,Not Applicable,
1397,INC2020-091,Fire,08/31/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1398,INC2020-094,Operation Beyond Design Limits,09/04/2020,Ontario,TransCanada PipeLines Limited,Not Applicable,
1399,INC2020-095,Operation Beyond Design Limits,09/15/2020,Manitoba,TransCanada PipeLines Limited,Not Applicable,
1400,INC2020-096,Fire,09/16/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1401,INC2020-098,Operation Beyond Design Limits,09/25/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1402,INC2020-099,Operation Beyond Design Limits,09/30/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1403,INC2020-100,Serious Injury (CER or TSB),09/30/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1404,INC2020-101,Serious Injury (CER or TSB),10/01/2020,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
1405,INC2020-102,Release of Substance,10/02/2020,Alberta,Express Pipeline Ltd.,Crude Oil - Sweet,66.5
1406,INC2020-104,Serious Injury (CER or TSB),10/03/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1407,INC2020-105,Fire,10/07/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1408,INC2020-106,Operation Beyond Design Limits,10/09/2020,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1409,INC2020-107,Operation Beyond Design Limits,10/14/2020,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1410,INC2020-110,Release of Substance,10/14/2020,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,584.0
1411,INC2020-111,Operation Beyond Design Limits,10/15/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1412,INC2020-112,Operation Beyond Design Limits,10/19/2020,Manitoba,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP,Not Applicable,
1413,INC2020-113,Serious Injury (CER or TSB),10/25/2020,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1414,INC2020-114,Serious Injury (CER or TSB),10/26/2020,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1415,INC2020-115,Fatality,10/27/2020,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1416,INC2020-116,Operation Beyond Design Limits,10/29/2020,Ontario,TransCanada PipeLines Limited,Not Applicable,
1417,INC2020-117,Operation Beyond Design Limits,10/30/2020,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1418,INC2020-118,Release of Substance,10/30/2020,New Brunswick,Twin Rivers Paper Company Inc.,Water,1.5
1419,INC2020-119,Operation Beyond Design Limits,11/01/2020,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1420,INC2020-122,Fire,11/05/2020,Ontario,Enbridge Pipelines Inc.,Not Applicable,
1421,INC2020-123,Fire,11/07/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1422,INC2020-124,Fire,11/10/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1423,INC2020-125,Operation Beyond Design Limits,11/13/2020,Ontario,TransCanada PipeLines Limited,Not Applicable,
1424,INC2020-126,Fire,11/17/2020,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1425,INC2020-127,Release of Substance,11/17/2020,Alberta,NOVA Gas Transmission Ltd.,Lube Oil,11.0
1426,INC2020-131,Release of Substance,11/22/2020,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,15069.0
1427,INC2020-133,Fire,11/25/2020,Quebec,Trans Qu�bec and Maritimes Pipeline Inc.,Not Applicable,
1428,INC2020-138,Serious Injury (CER or TSB),12/15/2020,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1429,INC2020-139,Serious Injury (CER or TSB),12/30/2020,Alberta,Enbridge Pipelines Inc.,Not Applicable,
1430,INC2021-001,Release of Substance,01/04/2021,New Brunswick,Twin Rivers Paper Company Inc.,Produced Water,309.0
1431,INC2021-002,Operation Beyond Design Limits,01/13/2021,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
1432,INC2021-003,Operation Beyond Design Limits,01/14/2021,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1433,INC2021-004,Serious Injury (CER or TSB),01/19/2021,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
1434,INC2021-005,Release of Substance,01/20/2021,Saskatchewan,Many Islands Pipe Lines (Canada) Limited,Drilling Fluid,1.0
1435,INC2021-006,Operation Beyond Design Limits,01/25/2021,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1436,INC2021-009,Operation Beyond Design Limits,01/29/2021,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
1437,INC2021-010,Release of Substance,01/30/2021,British Columbia,Westcoast Energy Inc.,Natural Gas - Sweet,124832.0
1438,INC2021-012,Fire,02/01/2021,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1439,INC2021-014,Release of Substance,02/02/2021,Alberta,Westcoast Energy Inc.,Natural Gas - Sweet,3468.3
1440,INC2021-015,Release of Substance,02/03/2021,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1017.25
1441,INC2021-017,Fire,02/04/2021,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1442,INC2021-018,Fire,02/06/2021,British Columbia,Westcoast Energy Inc.,Not Applicable,
1443,INC2021-023,Operation Beyond Design Limits,02/18/2021,Alberta,Enbridge Pipelines Inc.,Not Applicable,
1444,INC2021-027,Fire,02/22/2021,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1445,INC2021-028,Release of Substance,02/23/2021,British Columbia,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,31680.0
1446,INC2021-030,Fire,02/25/2021,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1447,INC2021-031,Fire,02/25/2021,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1448,INC2021-032,Fire,02/25/2021,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1449,INC2021-036,Serious Injury (CER or TSB),03/01/2021,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1450,INC2021-037,Explosion,03/01/2021,British Columbia,Westcoast Energy Inc.,Not Applicable,
1451,INC2021-041,Fire,03/09/2021,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1452,INC2021-042,Release of Substance,03/10/2021,New Brunswick,Twin Rivers Paper Company Inc.,Water,102.2
1453,INC2021-043,Release of Substance,03/15/2021,New Brunswick,Twin Rivers Paper Company Inc.,Pulp slurry,200.0
1454,INC2021-044,Release of Substance,03/15/2021,New Brunswick,Twin Rivers Paper Company Inc.,Pulp slurry,1.32
1455,INC2021-045,Fire,03/20/2021,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1456,INC2021-049,Fire,03/29/2021,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1457,INC2021-050,Release of Substance,04/01/2021,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,233376.0
1458,INC2021-054,Fire,04/14/2021,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1459,INC2021-056,Fire,04/16/2021,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1460,INC2021-058,Operation Beyond Design Limits,04/27/2021,British Columbia,Westcoast Energy Inc.,Not Applicable,
1461,INC2021-060,Release of Substance,05/01/2021,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,0.1
1462,INC2021-062,Adverse Environmental Effects,05/04/2021,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
1463,INC2021-063,Fire,05/07/2021,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1464,INC2021-065,Fire,05/10/2021,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1465,INC2021-066,Release of Substance,05/10/2021,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,16000.0
1466,INC2021-067,Fire,05/11/2021,Quebec,Trans Qu�bec and Maritimes Pipeline Inc.,Not Applicable,
1467,INC2021-068,Operation Beyond Design Limits,05/12/2021,Alberta,Westcoast Energy Inc.,Not Applicable,
1468,INC2021-069,Fire,05/13/2021,Quebec,Trans Qu�bec and Maritimes Pipeline Inc.,Not Applicable,
1469,INC2021-070,Fire,05/15/2021,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1470,INC2021-071,Serious Injury (CER or TSB),05/16/2021,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1471,INC2021-072,Fire,05/17/2021,Quebec,Trans Qu�bec and Maritimes Pipeline Inc.,Not Applicable,
1472,INC2021-078,Operation Beyond Design Limits,05/26/2021,British Columbia,Westcoast Energy Inc.,Not Applicable,
1473,INC2021-079,Serious Injury (CER or TSB),06/03/2021,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1474,INC2021-080,Release of Substance,06/07/2021,British Columbia,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,2350.0
1475,INC2021-081,Operation Beyond Design Limits,06/10/2021,British Columbia,Westcoast Energy Inc.,Not Applicable,
1476,INC2021-083,Fire,06/15/2021,Quebec,TransCanada PipeLines Limited,Not Applicable,
1477,INC2021-084,Operation Beyond Design Limits,06/17/2021,Quebec,Montreal Pipe Line Limited,Not Applicable,
1478,INC2021-085,Fire,06/19/2021,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
1479,INC2021-086,Operation Beyond Design Limits,06/21/2021,British Columbia,Westcoast Energy Inc.,Not Applicable,
1480,INC2021-087,Operation Beyond Design Limits,06/23/2021,Ontario,Enbridge Pipelines Inc.,Not Applicable,
1481,INC2021-089,Serious Injury (CER or TSB),06/26/2021,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
1482,INC2021-090,Release of Substance,06/27/2021,New Brunswick,Twin Rivers Paper Company Inc.,Pulp slurry,463.0
1483,INC2021-091,Operation Beyond Design Limits,06/29/2021,Quebec,Montreal Pipe Line Limited,Not Applicable,
1484,INC2021-092,Operation Beyond Design Limits,06/29/2021,Quebec,Montreal Pipe Line Limited,Not Applicable,
